Version,File_Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,Bugginess
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,30,46,2,0,2,41,36,20.50,36,36,18.00,275,147,137.50,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,49,62,2,0,2,60,57,30.00,58,57,29.00,225,148,112.50,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,52,62,1,0,1,62,62,62.00,62,62,62.00,149,149,149.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,106,154,4,0,2,142,129,35.50,130,129,32.50,377,150,94.25,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,63,78,2,0,2,76,73,38.00,74,73,37.00,230,151,115.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,72,89,3,0,2,86,82,28.67,83,82,27.67,362,152,120.67,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,61,74,1,0,1,74,74,74.00,74,74,74.00,153,153,153.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,42,52,2,0,2,50,48,25.00,48,48,24.00,175,154,87.50,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,52,62,2,0,2,61,60,30.50,60,60,30.00,286,155,143.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,62,82,3,0,2,76,70,25.33,70,70,23.33,310,156,103.33,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,166,221,4,0,2,202,180,50.50,183,180,45.75,394,157,98.50,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,44,53,1,0,1,53,53,53.00,53,53,53.00,158,158,158.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,386,492,4,0,2,472,450,118.00,452,450,113.00,376,159,94.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,33,39,1,0,1,39,39,39.00,39,39,39.00,160,160,160.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,66,86,2,0,2,82,78,41.00,78,78,39.00,296,161,148.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,54,66,2,0,2,65,64,32.50,64,64,32.00,298,162,149.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,28,33,2,0,2,32,31,16.00,31,31,15.50,300,163,150.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,52,65,2,0,2,61,57,30.50,57,57,28.50,302,164,151.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,96,118,2,0,2,111,104,55.50,104,104,52.00,304,165,152.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,28,32,1,0,1,32,32,32.00,32,32,32.00,166,166,166.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,195,331,3,0,2,279,226,93.00,227,226,75.67,390,167,130.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,168,219,4,0,3,208,187,52.00,197,187,49.25,394,168,98.50,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,69,87,2,0,2,81,75,40.50,75,75,37.50,311,169,155.50,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,24,28,1,0,1,28,28,28.00,28,28,28.00,170,170,170.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,44,56,2,0,2,54,52,27.00,52,52,26.00,314,171,157.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,374,583,3,0,2,506,428,168.67,429,428,143.00,401,172,133.67,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,79,164,2,0,2,134,104,67.00,104,104,52.00,318,173,159.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,30,35,1,0,1,35,35,35.00,35,35,35.00,174,174,174.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,84,100,2,0,2,99,98,49.50,98,98,49.00,321,175,160.50,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,66,109,3,0,2,94,78,31.33,79,78,26.33,409,176,136.33,35,No
1,hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java,51,62,2,0,2,60,57,30.00,58,57,29.00,325,177,162.50,35,No
1,hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java,42,51,1,0,1,51,51,51.00,51,51,51.00,180,180,180.00,35,No
1,hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java,47,57,1,0,1,57,57,57.00,57,57,57.00,181,181,181.00,35,No
1,hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java,205,270,3,0,2,250,230,83.33,230,230,76.67,357,182,119.00,35,Yes
1,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java,114,142,3,0,2,138,133,46.00,134,133,44.67,422,183,140.67,35,Yes
1,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java,194,238,4,0,2,230,221,57.50,222,221,55.50,450,184,112.50,35,Yes
1,hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java,52,66,2,0,2,64,61,32.00,62,61,31.00,274,185,137.00,35,Yes
1,hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java,106,137,3,0,2,133,128,44.33,129,128,43.00,246,154,82.00,13,Yes
1,hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java,54,71,2,0,2,68,65,34.00,65,65,32.50,341,186,170.50,35,Yes
1,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java,90,116,1,0,1,116,116,116.00,116,116,116.00,187,187,187.00,35,No
1,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java,137,188,2,0,2,177,166,88.50,166,166,83.00,344,188,172.00,35,No
